"","country","Prospective","Retrospective"
"1","AFG","Done","Done"
"2","AGO","Done","Done"
"3","ALB","Pending","Pending"
"4","ARM","Pending","Pending"
"5","AZE","Pending","Pending"
"6","BDI","Pending","Pending"
"7","BEN","Pending","Pending"
"8","BFA","Pending","Pending"
"9","BGD","Done","Done"
"10","BIH","Pending","Pending"
"11","BLR","Pending","Pending"
"12","BLZ","Pending","Pending"
"13","BOL","Done","Done"
"14","BTN","Done","Done"
"15","CAF","Done","Done"
"16","CIV","Done","Done"
"17","CMR","Done","Done"
"18","COD","Done","Done"
"19","COG","Done","Done"
"20","COL","Pending","Pending"
"21","COM","Done","Done"
"22","CPV","Done","Done"
"23","CUB","Done","Pending"
"24","DJI","Done","Done"
"25","DMA","Pending","Pending"
"26","DZA","Done","Done"
"27","ECU","Pending","Pending"
"28","EGY","Done","Done"
"29","ERI","Pending","Pending"
"30","ETH","Done","Done"
"31","FJI","Done","Done"
"32","FSM","Pending","Pending"
"33","GEO","Done","Pending"
"34","GHA","Done","Done"
"35","GIN","Done","Done"
"36","GMB","Done","Done"
"37","GNB","Done","Done"
"38","GRD","Pending","Pending"
"39","GTM","Pending","Pending"
"40","GUY","Pending","Pending"
"41","HND","Pending","Pending"
"42","HTI","Pending","Pending"
"43","IDN","Done","Done"
"44","IND","Done","Done"
"45","IRN","Pending","Pending"
"46","IRQ","Pending","Pending"
"47","JAM","Pending","Pending"
"48","JOR","Pending","Pending"
"49","KEN","Pending","Pending"
"50","KGZ","Pending","Pending"
"51","KHM","Pending","Pending"
"52","KIR","Pending","Pending"
"53","LAO","Pending","Pending"
"54","LBR","Pending","Pending"
"55","LCA","Pending","Pending"
"56","LKA","Pending","Pending"
"57","LSO","Pending","Pending"
"58","MAR","Pending","Pending"
"59","MDA","Pending","Pending"
"60","MDG","Pending","Pending"
"61","MDV","Pending","Pending"
"62","MHL","Pending","Pending"
"63","MKD","Pending","Pending"
"64","MLI","Pending","Pending"
"65","MMR","Pending","Pending"
"66","MNG","Pending","Pending"
"67","MOZ","Pending","Pending"
"68","MRT","Pending","Pending"
"69","MWI","Pending","Pending"
"70","NAM","Pending","Pending"
"71","NER","Pending","Pending"
"72","NGA","Done","Done"
"73","NIC","Pending","Pending"
"74","NPL","Pending","Pending"
"75","PAK","Done","Done"
"76","PER","Pending","Pending"
"77","PHL","Done","Done"
"78","PNG","Pending","Pending"
"79","PRK","Pending","Pending"
"80","PRY","Pending","Pending"
"81","PSE","Pending","Pending"
"82","RWA","Pending","Pending"
"83","SDN","Pending","Pending"
"84","SEN","Pending","Pending"
"85","SLB","Pending","Pending"
"86","SLE","Pending","Pending"
"87","SLV","Pending","Pending"
"88","SOM","Pending","Pending"
"89","SRB","Pending","Pending"
"90","SSD","Pending","Pending"
"91","STP","Pending","Pending"
"92","SWZ","Pending","Pending"
"93","SYR","Pending","Pending"
"94","TCD","Pending","Pending"
"95","TGO","Pending","Pending"
"96","THA","Pending","Pending"
"97","TJK","Pending","Pending"
"98","TKM","Pending","Pending"
"99","TLS","Pending","Pending"
"100","TON","Pending","Pending"
"101","TUN","Done","Done"
"102","TUV","Pending","Pending"
"103","TZA","Pending","Pending"
"104","UGA","Done","Done"
"105","UKR","Done","Done"
"106","UZB","Done","Done"
"107","VCT","Done","Done"
"108","VEN","Done","Pending"
"109","VNM","Done","Done"
"110","VUT","Done","Pending"
"111","WSM","Pending","Pending"
"112","XK","Pending","Pending"
"113","YEM","Done","Done"
"114","ZAF","Pending","Pending"
"115","ZMB","Done","Done"
"116","ZWE","Done","Done"
"117","TOTAL COVERED","73.444853116944","72.5008843445773"
